unidade;setor_centro_custo;ano;mes;dias_mes;leitos;saidas;giro_de_leitos;tx_ocupacao;tx_descocupacao;media_permanencia;iisl
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;1;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;2;28;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;3;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;4;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;5;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;6;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;2;28;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;2;29;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;2;28;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;2;28;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;2;28;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;2;29;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;3;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;4;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;5;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;6;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;7;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;8;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;9;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;10;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;11;30;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;12;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;1;31;0;0;;;1,0;0,0;
CSSFE;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;2;29;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;2;29;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;7;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;8;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;9;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;10;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;11;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;12;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;1;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;2;28;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;3;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;4;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;5;31;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;6;30;0;0;;;1,0;0,0;
CSSI;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2026;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;2;28;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;2;29;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2020;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;2;28;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2021;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;2;28;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2022;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;2;28;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;2;29;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;4;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;5;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;6;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;7;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;8;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;9;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;10;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;11;30;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;12;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;1;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;2;28;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;3;31;0;0;;;1,0;0,0;
HAC;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;4;30;0;0;;;1,0;0,0;
